,0,1,2,3,4,5
0,-0.41871811223001876,-0.06656976057088484,-0.2140675605730836,-0.05924993100046147,53.72213192211974,-1.3408061595943421
1,-0.3948543831565335,-0.06656976057088484,-0.13276986109113798,-0.05924993100046147,54.834283712311695,-1.3408061595943421
2,-0.4583060340109728,-0.06656976057088484,-0.6901985751797921,-0.05924993100046147,29.744740405085725,-1.3408061595943421
3,-0.41605073796556835,-0.06656976057088484,-0.6631502020026687,-0.05924993100046147,14.901898398915662,-1.3408061595943421
4,-0.018741118850488212,-0.06656976057088484,0.17516245589732404,-0.05924993100046147,17.961977871712335,-1.3408061595943421
5,2.4076731210091653,-0.06656976057088484,0.7803758030290456,-0.05924993100046147,12.422542853640149,-1.3408061595943421
6,-0.4179591821134455,-0.06656976057088484,-0.7328095137854754,-0.05924993100046147,7.445492531801934,-1.3408061595943421
7,-0.1318953217650639,-0.06656976057088484,0.7256111591426828,-0.05924993100046147,7.4984631575668494,-1.3408061595943421
8,-0.5267401661990995,-0.06656976057088484,0.6056002888189926,-0.05924993100046147,7.124698302877877,-1.3408061595943421
9,-0.12990630288041477,-0.06656976057088484,0.8082896309470932,-0.05924993100046147,6.69688603566678,-1.3408061595943421
10,-0.5628990844434226,-0.06656976057088484,0.6594214700295977,-0.05924993100046147,5.256817714421092,-1.3408061595943421
11,-0.2846535514143272,-0.06656976057088484,0.12720815695375695,-0.05924993100046147,2.605594912513225,-1.3408061595943421
12,0.23665981884061368,-0.06656976057088484,0.7559625009052543,-0.05924993100046147,1.2912362909524864,-1.3408061595943421
13,-0.2387429956389861,-0.06656976057088484,0.7045226162514027,-0.05924993100046147,0.6267673484740398,-1.3408061595943421
14,-0.02296623714362194,-0.06656976057088484,0.8111849013677749,-0.05924993100046147,0.09244299196538375,-1.3408061595943421
15,0.8631393744738984,-0.06656976057088484,0.07790232336799835,-0.05924993100046147,-0.6781585073732033,-1.3408061595943421
16,1.802004846014863,-0.06656976057088484,0.36486635233316306,-0.05924993100046147,-1.0777637737796928,-1.3408061595943421
17,-0.5004004197356214,-0.06656976057088484,-0.49184409698670795,-0.05924993100046147,1.332368893101492,-1.3408061595943421
18,0.7513910647692874,-0.06656976057088484,0.002558010619570114,-0.05924993100046147,0.374891375410965,-1.3408061595943421
19,0.11619419438544579,-0.06656976057088484,0.4761746496634193,-0.05924993100046147,0.18581240207588656,-1.3408061595943421
20,-0.5480551907844532,-0.06656976057088484,-0.4541560184726891,-0.05924993100046147,-0.5550912215690078,-1.3408061595943421
21,0.9213618506403332,-0.06656976057088484,0.2875055400854325,-0.05924993100046147,-0.6898878957407093,-1.3408061595943421
22,-0.06410903400320701,-0.06656976057088484,-0.4633931492720816,-0.05924993100046147,-1.0148386069258155,-1.3408061595943421
23,0.6204992634836582,-0.06656976057088484,1.4483772097049838,-0.05924993100046147,-0.5577642926722485,-1.3408061595943421
24,-0.4161420028658235,-0.06656976057088484,-0.40452740211883875,-0.05924993100046147,-0.9720733934973267,-1.3408061595943421
25,-0.2254665308176116,-0.06656976057088484,0.3985643038888882,-0.05924993100046147,-0.8369793999994509,-1.3408061595943421
26,-0.34965686820399033,-0.06656976057088484,0.4102480416344493,-0.05924993100046147,-0.31745590492732906,-1.3408061595943421
27,-0.2000484267312235,-0.06656976057088484,-0.8463455831362957,-0.05924993100046147,-1.0278637388395748,-1.3408061595943421
28,-0.5779013293770497,-0.06656976057088484,-0.32904014513164326,-0.05924993100046147,-0.9141025121868401,-1.3408061595943421
29,0.5905963651714944,-0.06656976057088484,0.48729809433670856,-0.05924993100046147,-0.7981170551601022,-1.3408061595943421
30,-0.5043064206733787,-0.06656976057088484,-0.10922319670290881,-0.05924993100046147,1.6902500094779538,-1.3408061595943421
31,-0.3976311961922795,-0.06656976057088484,-0.8749031807289362,-0.05924993100046147,0.3765660063428371,-1.3408061595943421
32,-0.4850951820932674,-0.06656976057088484,0.3897191370542577,-0.05924993100046147,0.07563503645927266,-1.3408061595943421
33,-0.40158859039267253,-0.06656976057088484,0.37073719224287605,-0.05924993100046147,0.868628299967496,-1.3408061595943421
34,-0.17370917137502967,-0.06656976057088484,-0.6206443568745936,-0.05924993100046147,-0.18004650234666728,-1.3408061595943421
35,-0.5158162692956205,-0.06656976057088484,-0.6318707962838317,-0.05924993100046147,-0.05966090823778591,-1.3408061595943421
36,-0.5957827094548428,-0.06656976057088484,-0.6382048321564467,-0.05924993100046147,-0.3852313348431062,-1.3408061595943421
37,0.15364354719529036,-0.06656976057088484,0.4297124130349243,-0.05924993100046147,-0.17955101748006375,-1.3408061595943421
